int_id;rest_id;rest_name;website;lat;lng;neighborhood
662;2fc321e6-8c12-5fa9-9c89-bee0d1f4f1b7;Polu Poke;http://polupoke.co.uk;51,522118;-0,080026;City
440;912bb06e-102e-5634-9761-ed0a0c767a59;Kitty Hawk;https://thekittyhawk.co.uk/;51,519122;-0,086945;City
441;43f7e3c8-aebd-5b75-8311-4de50126a341;Pelt trader;http://www.pelttrader.co.uk;51,51105;-0,090972;City
446;d6cd438a-af4f-52a7-b661-e1c5977e610b;La Tasca;https://www.latasca.com/venue/london-leadenhall-market/;51,512291;-0,083431;City
447;3ebb1ceb-ca63-5457-bb54-8e57d9aec3a8;We grill;http://www.wegrill.co.uk;51,51265;-0,083292;City
454;3da279a7-b8b3-52e1-aa1b-8e1bb247e549;Saporita;http://www.saporita.london/;51,514254;-0,104736;City
458;ea3ac63b-4258-5c4a-9b5a-df7abdcec421;The India;http://theindia.org.uk/;51,511708;-0,092154;City
462;bca6644e-0caf-56f5-8667-9ded1629297d;Mas Q Menos Farringdon;http://www.masqmenos.co.uk/;51,517334;-0,1042;City
464;e6fcb823-399c-5b98-b098-0dca41e6bc5b;Wahaca St. Paul's;https://www.wahaca.co.uk/locations/wahaca-st-pauls/;51,514218;-0,095694;City
467;fe0eebb7-0553-5cb7-b2fd-015f0085ed1c;Lebaneats;http://Www.lebaneats.co.uk;51,518382;-0,113264;City
17;f8a855f0-88ac-54b2-bc0a-e54a00325727;Magpie;http://www.nicholsonspubs.co.uk/restaurants/london/themagpiebishopsgatelondon#;51,517351;-0,079053;City
19;af35eac1-8e19-5a0f-b969-0125f3588e2f;Omnino Leadenhall;http://www.omninorestaurants.com;51,513637;-0,0783;City
24;b527b845-a0cb-5c38-9d46-3da87cee101d;Hack and Hop;http://thehackandhop.com/food/;51,513936;-0,107252;City
26;f72634f1-7d9f-58b5-a3db-6382039511db;Hispania London;http://www.hispanialondon.com;51,513111;-0,087454;City
484;a43e6590-592d-5c36-ad27-455e805796ec;The Lion;http://lionec3.co.uk;51,515015;-0,078197;City
502;e6f996b8-a7bc-509e-8380-a0c33a24063a;Pure;https://www.pure.co.uk/shops/cheapside/;51,51408;-0,093147;City
34;beadfb92-37b6-57d7-8dbc-949cb18e28dc;Little Fable;http://drakeandmorgan.co.uk/the-little-fable;51,515837;-0,103656;City
42;b3eb96d2-8d24-50e5-8133-105236b6fb5e;The Saint;http://www.thesaint.londonpubandbar.co.uk/;51,515261;-0,099688;City
449;567cf887-ce5d-504f-afb3-e3a19ee91cb2;Daly's Wine Bar;http://www.dalyswinebar.co.uk;51,513191;-0,113031;City
506;c0d1ea03-40b6-5fd7-8724-df04cae96cfc;Homeslice;http://www.homeslicepizza.co.uk/;51,512443;-0,092556;City
509;a8c5d92c-bc31-54a7-b92f-733f7b3bf5a4;GOLDEN FLEECE;http://www.goldenfleececity.com/;51,51346;-0,092536;City
515;5b6c86c8-9f57-59a8-bc80-698e7ea51158;The Maifair Chippy;https://www.mayfairchippy.com/;51,513363;-0,15323;City
519;58a12187-e02f-5d0a-a443-fc7f8c44d66a;We are bar;http://wearebar.com/;51,519253;-0,079831;City
43;04c5de7e-27bf-59d0-8444-2d07b0a2ce8c;MBER;http://www.mber.london;51,510757;-0,008541;City
45;454a55d6-664c-597f-bef3-f316b4b820e6;Davy's at Woolgate Bar and Brasserie;http://www.davy.co.uk;51,516646;-0,091166;City
47;fbc045ca-a1e9-5833-9dec-9813af600e84;Farmer J;http://www.farmerj.com;51,513783;-0,08065;City
50;d6dd0c06-9f08-5861-b523-c840e2e4b3e6;Wagamama;https://www.wagamama.com/restaurants/st-pauls;51,513896;-0,100749;City
522;5418d068-6126-5abd-bb50-43352f51cf6f;Aviary;http://www.aviarylondon.com;51,522042;-0,085676;City
54;33347f31-ce76-5464-929a-2c9cc83ab78d;Kym's;https://www.kymsrestaurant.com/;51,512391;-0,091031;City
57;200db631-253d-59c9-8613-2a4c06efbb53;Kaia;https://www.thened.com/restaurants/kaia;51,514133;-0,089612;City
58;122a791f-f2ba-5f07-866e-f4ac0900a010;The Lord Aberconway;http://www.nicholsonspubs.co.uk/thelordaberconwayliverpoolstreetlondon/;51,517486;-0,083098;City
75;7cb8a65e-d482-5988-8295-4fbdb64be7aa;Voltaire;http://www.voltairebar.com;51,512516;-0,104544;City
78;31f7d17c-d1e4-54dd-a52a-dfff8f9cbc75;Grace St. Paul's;http://www.gracestpauls.com/;51,513439;-0,101225;City
523;d8e2bb91-518b-5639-be8d-4b535c773c15;Brigadiers;https://brigadierslondon.com;51,512834;-0,07886;City
525;de33a1bf-3f28-5483-a464-f8d100b13f3f;The Old Tea Warehouse;http://www.theoldteawarehouse.co.uk/;51,513824;-0,094048;City
528;2b76649f-ea74-5d7b-8931-7383756a7223;Taberna Etrusca;http://tabernaetrusca.co.uk/;51,513626;-0,09601;City
543;e378a499-bf72-5aae-baeb-860e3599d50c;Benugo;http://www.londonwallbarandkitchen.com/;51,518311;-0,086485;City
565;3526c906-e4a9-5288-b5f1-858b5caf866e;Brasserie Blanc;https://brasserieblanc.com/?utm_source=tripadvisor&utm_medium=referral#;51,514321;-0,085721;City
675;ea9dc040-8a83-53f9-a543-2f4ed8d4ee1a;Marco Pierre White Wheeler's Oyster Bar & Grill Room;http://www.mpwrestaurants.co.uk/restaurants/wheelers-london-bank;51,514529;-0,085721;City
674;d92e1d6a-daea-5863-91bd-ab5101386210;Giovanni’s;http://giovanniscityroad.com/;51,522344;-0,087273;City
673;0ad22214-08e2-5f0b-9aed-027657f6ebcb;Mangio;http://mangio.co.uk/;51,522336;-0,087315;City
672;32e4e5e7-058b-5ba3-9064-0c8dd5855450;Jackson + Rye;http://www.jacksonrye.com/brasserie/city-bank/;51,51467;-0,090949;City
80;baec26f4-1a4e-5e9c-be75-b6c79fe7648c;Scarpetta London;http://scarpetta.me/;51,511161;-0,087794;City
81;daa1ccba-8701-5042-8ff0-efaeb84b8a20;The New Moon;http://www.newmoon-whitechapel.co.uk;51,513066;-0,084226;City
90;4323c660-9a0e-550d-b0a2-2388f237f1ca;The Refinery CityPoint Bar & Restaurant;http://drakeandmorgan.co.uk/the-refinery-citypoint;51,519155;-0,090169;City
94;a4522b20-f8b8-5f18-a967-bfa361a9a76b;Chinese Cricket Club;http://www.chinesecricketclub.com/;51,512469;-0,104644;City
96;7553557e-f582-528c-85da-9069db11aac4;The Phoenix;http://www.thephoenixec2.co.uk;51,515194;-0,085848;City
566;a7270797-15ee-5837-9c1a-9b2760a13969;Keepers;http://www.keeperslounge.co.uk;51,510936;-0,077156;City
551;6ca03f2a-c62b-5151-b209-c6727ff63945;The pregnant man;http://thepregnantman.co.uk;51,516795;-0,112301;City
550;86e27cdf-d351-5b2f-abc5-d417ac9c65c7;London Steakhouse Co.;https://www.londonsteakhousecompany.com;51,517698;-0,078031;City
683;f59ee018-bce9-5132-8eea-610272d9e151;Cafe Rouge - St Pauls;http://www.caferouge.com/locations/st-pauls;51,513431;-0,099222;City
685;e751712e-d9c0-5306-a910-ee6b311b7ee2;Leon;http://leon.co/restaurants/leadenhall/;51,512963;-0,083098;City
689;e428ff41-9218-54f4-9b62-f9f058a77de4;Fleet Place;http://www.fleetplace.londonpubandbar.co.uk/;51,516736;-0,103295;City
692;5a2a725a-0689-5fa0-8094-73de135b356b;The Walrus and The Carpenter;http://www.nicholsonspubs.co.uk/thewalrusandthecarpentermonumentlondon/;51,509739;-0,084201;City
694;4261c3c1-ddaf-58fe-a9b1-053156d78565;Wood Street Bar & Restaurant;http://www.woodstreetbar.co.uk;51,5188;-0,092906;City
715;cd012fcd-03ad-52e4-af74-7db56f75c358;Chop'd CityPoint;http://chopd.co.uk;51,519914;-0,089715;City
686;576f3bb7-9f0e-5b96-941c-dbc430117399;Steam Wine Bar;http://www.steamwinebar.com/;51,510709;-0,084652;City
717;7c069d6b-9f58-5818-b4b1-841b3e4656c6;Broker's Wine Bar and Restaurant;http://www.brokerswinebar.com;51,513117;-0,08374;City
131;f98f5f91-e77e-5d1b-b7d2-33a1f30a83f5;Gaucho - City;http://www.gauchorestaurants.co.uk/restaurants/restaurant.php?id=city;51,512871;-0,084829;City
134;83c1b900-5072-5d7d-8bab-a2cc6496b7bd;Mint Leaf Lounge;http://www.mintleaflondon.com;51,515127;-0,087952;City
137;39b8c59a-8955-5a9d-8f81-13b54122b201;Silk & Grain;http://www.silkandgrain.co.uk;51,513432;-0,086363;City
145;86f5bbf9-305c-597a-9f6e-0d1b8235573c;The Bell;http://www.redcarpubs.com/The-Bell;51,511223;-0,089464;City
721;0fbb5c47-f72c-52c6-992b-5e5d50009f22;Darbaar Restaurant;http://www.darbaarrestaurants.com;51,521706;-0,082214;City
732;ab55fdd8-1ca5-51e3-84d1-3737541b7bb7;Tossed;http://tosseduk.com;51,516854;-0,087576;City
146;a3a72572-c41b-5948-9419-a6768849a9e0;The Harrow;http://www.harrowlondon.co.uk/;51,513181;-0,106747;City
147;068f313c-4b95-508b-99fc-1d314ae1c25f;Mas Q Menos City;http://www.masqmenos.co.uk/;51,511428;-0,079767;City
148;35487775-1107-5b64-a06e-a6e53af3d896;Caffe Vergnano 1882;http://www.caffevergnano1882.co.uk;51,51651;-0,107982;City
153;434c3d18-de14-5fa8-8489-bcf6834da9d6;The Nickel Bar;http://www.thened.com/restaurants#the-nickel-bar;51,513984;-0,090082;City
154;bc83c510-0b4e-58ac-bcb2-251445705657;The M Bar;http://www.mbarcity.co.uk;51,512485;-0,08392;City
313;bb1c4601-4999-5dd4-bb55-df5c46547654;Cheeky Chicos;http://www.cheekychicos.co.uk/;51,513573;-0,104579;City
315;cbfff860-7e6e-5c56-8909-fb842ed62ca0;Viaduct Tavern;http://www.viaducttavern.co.uk/;51,516476;-0,101757;City
317;c496228d-d1c7-595e-a82e-618a9a695409;The Hydrant;http://www.thehydrant.co.uk;51,510587;-0,08633;City
318;73fee24c-f373-5040-ac87-e493d680e291;Missouri Angel;http://www.missourigrill.com/;51,511901;-0,075754;City
321;0b4330de-031f-52e7-aaee-f888bea66b25;Veeno London - St Paul's;http://www.theveenocompany.com;51,514239;-0,095323;City
